time,vehicles
5942,0
5948,0
5954,0
5960,0
5966,0
5972,0
5978,0
5984,0
6000,0
6006,0
6012,0
6018,0
6024,0
6030,0
6036,0
6042,0
6048,0
6054,1
6060,1
6066,0
6072,0
6078,0
6084,0
6100,0
6106,0
6112,0
6118,0
6124,0
6130,0
6136,0
6142,0
6148,0
6154,0
6160,0
6166,0
6172,0
6178,0
6184,0
6200,0
6206,0
6212,0
6218,0
6224,0
6230,0
6236,0
6242,0
6248,0
6254,0
6260,0
6266,0
6272,0
6278,0
6284,0
6300,0
6306,0
6312,0
6318,0
6324,0
6330,0
6336,0
6342,0
6348,0
6354,0
6360,2
6366,0
6372,0
6378,0
6384,0
6400,0
6406,0
6412,0
6418,0
6424,0
6430,0
6436,0
6442,0
6448,0
6454,0
6460,0
6466,0
6472,0
6478,0
6484,0
6500,0
6506,0
6512,0
6518,0
6524,0
6530,0
6536,0
6542,0
6548,0
6554,0
6560,0
6566,0
6572,0
6578,0
6584,0
6600,0
6606,0
6612,0
6618,0
6624,0
6630,0
6636,0
6642,0
6648,0
6654,0
6660,0
6666,0
6672,0
6678,0
6684,0
6700,0
6706,0
6712,0
6718,0
6724,0
6730,0
6736,0
6742,0
6748,0
6754,0
6760,0
6766,0
6772,0
6778,0
6784,0
6800,0
6806,0
6812,0
6818,0
6824,0
6830,0
6836,0
6842,0
6848,0
6854,0
6860,0
6866,0
6872,0
6878,0
6884,0
6900,0
6906,0
6912,0
6918,0
6924,0
6930,0
6936,0
6942,0
6948,0
6954,0
6960,0
6966,0
6972,0
6978,0
6984,1
7000,0
7006,0
7012,0
7018,1
7024,0
7030,0
7036,0
7042,0
7048,0
7054,1
7060,0
7066,0
7072,0
7078,0
7084,0
7100,0
7106,0
7112,0
7118,0
7124,1
7130,0
7136,1
7142,0
7148,0
7154,0
7160,0
7166,0
7172,0
7178,0
7184,0
7200,0
7206,0
7212,0
7218,0
7224,0
7230,0
7236,0
7242,0
7248,0
7254,0
7260,0
7266,0
7272,0
7278,0
7284,0
7300,0
7306,0
7312,0
7318,0
7324,0
7330,0
7336,0
7342,0
7348,0
7354,0
7360,0
7366,0
7372,0
7378,0
7384,0
7400,0
7406,1
7412,0
7418,0
7424,0
7430,1
7436,0
7442,0
7448,0
7454,0
7460,0
7466,0
7472,0
7478,0
7484,0
7500,0
7506,0
7512,0
7518,0
7524,1
7530,1
7536,0
7542,0
7548,0
7554,0
7560,0
7566,0
7572,1
7578,0
7584,0
7600,0
7606,0
7612,0
7618,0
7624,0
7630,0
7636,0
7642,0
7648,0
7654,0
7660,0
7666,0
7672,0
7678,0
7684,0
7700,0
7706,0
7712,0
7718,0
7724,0
7730,0
7736,0
7742,0
7748,0
7754,0
7760,0
7766,0
7772,0
7778,0
7784,0
7800,0
7806,0
7812,0
7818,0
7824,0
7830,0
7836,0
7842,0
7848,0
7854,0
7860,0
7866,0
7872,1
7878,0
7884,0
7900,0
7906,0
7912,0
7918,0
7924,0
7930,0
7936,0
7942,0
7948,0
7954,0
7960,0
7966,0
7972,0
7978,0
7984,0
8000,0
8006,0
8012,1
8018,0
8024,0
8030,0
8036,0
8042,0
8048,0
8054,0
8060,0
8066,1
8072,0
8078,0
8084,0
8100,0
8106,0
8112,0
8118,0
8124,0
8130,0
8136,0
8142,0
8148,0
8154,0
8160,0
8166,0
8172,0
8178,0
8184,0
8200,0
8206,0
8212,0
8218,0
8224,0
8230,0
8236,0
8242,0
8248,0
8254,1
8260,0
8266,0
8272,0
8278,0
8284,0
8300,0
8306,0
8312,0
8318,0
8324,0
8330,0
8336,0
8342,0
8348,0
8354,0
8360,0
8366,0
8372,0
8378,0
8384,0
8400,0
8406,0
